9,9,3,9,3,8,9,3
44,46,44,44,44,46,44,43
45,41,41,45,45,41,45,41
9,9,12,9,9,13,9,12
80,80,81,80,71,80,71,81
79,79,79,79,79,79,79,79
10,10,4,10,4,10,4,4
33,34,19,33,19,34,23,33
63,63,65,63,67,58,67,65
38,38,38,38,38,34,38,38
27,27,27,27,27,27,27,27
1,1,9,1,1,11,1,9
7,13,12,13,12,11,12,11
20,20,18,20,18,13,18,23
8,8,8,8,8,8,8,8
18,18,15,18,15,18,18,15
9,9,9,8,9,9,9,9
17,17,20,17,20,17,17,20
11,11,11,11,11,13,11,7
89,89,85,89,85,89,89,85
19,15,19,19,19,15,19,21
58,56,60,58,60,56,58,60
92,92,92,92,93,95,93,92
1,1,1,1,1,1,1,1
15,15,9,15,15,15,15,9
13,13,13,13,13,13,13,13
36,36,36,36,36,36,36,36
36,36,35,36,36,33,36,35
11,14,11,14,11,8,11,11
33,33,32,33,32,33,33,32
2,2,7,2,7,2,7,7
81,81,81,81,81,81,81,78
