109,0,0,109,0,109,109,0,0,0,109,109,109,0,109,109,109,109,0,0,109,109,38,109,109,109,0,0,109,0,109,109,109,0,109,109,109,0,0,39,0,30,109,0,109,99,0,0,0,109,0,109,0,0,109,0,109,0,0,0,0,109,0,0,0,0,24,0,0,109,0,109,0,109,0,0,109,0,109,0,109,109,0,0,109,109,0,109,0,0,0,109,0,109,109,109,0,0,109,109
94,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,21,0,21,109,90,109,109,109,109,109,109,86,109,109,109,109,109,109,59,109,109,96,109,109,109,109,109,53,109,109,51,109,109,109,109,109,109,109,109,109,109,109,109,109,16,109,109,109,109,109,0,21,109,71,109,109,0,109,0,109,0,109,109,109,109,109,109,109,109,109,109,109,71,109,109,109,109,109
109,109,109,109,109,109,109,109,109,109,109,26,109,109,109,109,109,109,109,109,96,109,109,109,101,109,109,109,109,109,109,109,109,109,109,109,109,47,109,109,109,68,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,53,109,109,109,109,109,109,109,109,109,101,21,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
109,0,109,0,97,64,109,0,0,24,109,109,0,0,0,109,109,0,0,0,0,0,109,109,109,0,0,0,109,109,109,0,0,109,109,64,0,0,0,0,109,109,0,109,0,0,0,0,109,109,109,109,0,0,0,109,109,0,109,0,80,41,0,109,0,0,0,0,109,0,109,109,109,0,42,53,2,58,109,109,47,0,0,0,109,0,0,109,0,0,0,109,0,0,109,0,109,0,0,109
109,27,109,109,93,109,0,0,109,0,0,109,0,109,0,0,109,109,0,0,109,109,0,0,109,109,109,109,0,109,0,109,0,107,0,0,0,109,69,109,28,87,0,77,109,109,109,109,109,0,23,55,109,0,109,0,109,0,109,0,54,0,109,109,0,0,109,0,25,0,109,104,0,0,109,109,0,34,109,0,0,109,109,109,109,0,0,109,109,0,109,109,109,109,109,109,109,0,0,0
109,39,43,69,109,109,109,109,109,109,109,109,58,109,0,109,109,109,109,109,109,109,109,109,109,109,0,109,109,109,109,109,109,109,0,109,109,109,109,109,109,109,109,0,32,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,11,109,109,64,109,109,109,109,109,109,109,109,0,109,0,109,109,109,78,109,109,109,109,109,109,0,109,109
109,109,109,56,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,53,109,106,109,109,75,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,56,109,109,109,109,109,109,109,109,109,109,109,109,78,109,109,109,109,109,109,109,109,109,109,109,82,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,82,109,109,109
109,109,109,109,109,109,109,109,109,109,109,109,109,75,109,109,109,109,109,109,109,65,83,109,109,109,109,109,109,109,102,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,100,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,76,109,109,109,109,109,109,109,102,109,109,109,109,109,109
0,49,109,109,0,0,109,31,0,109,0,109,0,0,0,0,109,109,0,0,0,109,109,0,109,109,0,0,109,109,109,0,0,0,0,0,0,109,0,109,0,109,67,109,0,0,109,0,0,0,109,0,0,0,109,109,0,109,109,0,0,0,0,0,0,109,0,109,0,0,109,109,0,0,0,71,0,0,0,109,0,0,0,0,0,109,0,0,0,0,48,0,109,0,0,0,109,0,109,0
0,109,109,109,109,0,0,81,0,0,0,109,109,0,0,0,109,0,109,109,0,109,55,0,55,0,0,109,0,109,0,0,41,0,0,0,0,109,0,0,0,0,0,0,109,0,0,0,0,0,109,0,109,0,109,0,0,109,0,0,109,109,40,109,109,0,0,109,0,0,0,0,0,55,0,0,109,0,109,0,0,109,0,0,109,100,109,0,0,0,109,109,0,0,0,109,0,0,109,0
109,109,109,109,109,30,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,49,109,109,109,109,109,109,109,109,109,109,109,109,109,109,39,109,109,71,109,109,109,109,109,44,109,109,109,109,109,109,109,109,109,109,109,59,109,109,109,109,109,109,23,109,109,109,109,109,109,109,109,109,109,109,109,71,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
